Origin Country,Named Delivery Place [NDP],Incoterm,Commodity,Specific Commodity,GMO,Packaging Type,Price      ($/mt),Last Updated,Capacity (mt),Lead Time (days),Source
ZAMBIA,LUSAKA (ZAMBIA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,596,42783,100000,60,SCIPS
MOZAMBIQUE,CHIMOIO (MOZAMBIQUE),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,545,42783,100000,60,SCIPS
MOZAMBIQUE,DONDO (MOZAMBIQUE),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41299,100000,60,SCIPS
MADAGASCAR,TOLIARA (MADAGASCAR),FCA,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bag,304,42706,100000,60,SCIPS
TANZANIA,ARUSHA (TANZANIA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,42461,100000,60,SCIPS
KENYA,NAIROBI (KENYA),FCA,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,360,42650,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,GMO,Bag,346,42734,100000,60,SCIPS
ETHIOPIA,ADDIS ABABA (ETHIOPIA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),FAFFA,Non GMO,Bag,580.19,42209,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),DAP,Wheat (FOOD - CEREALS & GRAINS),SOFT WHEAT,Non GMO,Bag,594.31,42209,100000,60,SCIPS
ETHIOPIA,ADDIS ABABA (ETHIOPIA),FCA,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,0,42411,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,0,41250,100000,60,SCIPS
USA,SEATTLE (USA),FOB,Peas (FOOD - PULSES & VEGETABLES),WHOLE GREEN PEAS,Non GMO,Bag,567,42411,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Beans (FOOD - PULSES & VEGETABLES),HABAS/FABA,Non GMO,Bag,0,41250,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Split Lentils (FOOD - PULSES & VEGETABLES),SPLIT RED LENTILS,Non GMO,Bag,1279,42411,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41743,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,413,42621,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,0,41229,100000,60,SCIPS
UTD.ARAB EMIR.,JEBEL ALI (UTD.ARAB EMIR.),FOB,Sugar (FOOD - MISCELLANEOUS),WHITE SUGAR,Non GMO,Bag,550,42720,100000,60,SCIPS
MALAWI,LILONGWE (MALAWI),FCA,Peas (FOOD - PULSES & VEGETABLES),COW PEAS,Non GMO,Bag,558.62,42783,100000,60,SCIPS
NICARAGUA,LA PAZ (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,0,41254,100000,60,SCIPS
NICARAGUA,MANAGUA (NICARAGUA),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,500,42348,100000,60,SCIPS
GHANA,KUMASI (GHANA),EXW,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,598,41284,100000,60,SCIPS
CHILE,VALPARAISO (CHILE),FOB,Beans (FOOD - PULSES & VEGETABLES),PINTO BEANS,Non GMO,Bag,0,41281,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,950,42815,100000,60,SCIPS
ZIMBABWE,HARARE (ZIMBABWE),FCA,Peas (FOOD - PULSES & VEGETABLES),COW PEAS,Non GMO,Bag,0,41348,100000,60,SCIPS
SWAZILAND,MATSAPHA (SWAZILAND),FCA,Rice (FOOD - CEREALS & GRAINS),RICE,Non GMO,Bag,519,42405,100000,60,SCIPS
SWAZILAND,MATSAPHA (SWAZILAND),FCA,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,1115,42405,100000,60,SCIPS
EL SALVADOR,ACAJUTLA (EL SALVADOR),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1450,42762,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,595,42411,100000,60,SCIPS
TURKEY,TRABZON (TURKEY),FOB,Wheat (FOOD - CEREALS & GRAINS),DURUM WHEAT,Non GMO,Bag,0,41355,100000,60,SCIPS
SOUTH AFRICA,HARRISMITH (SOUTH AFRICA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,506,42783,100000,60,SCIPS
SOUTH AFRICA,HARRISMITH (SOUTH AFRICA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,442,42783,100000,60,SCIPS
HONDURAS,LA PAZ (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,0,41381,100000,60,SCIPS
EL SALVADOR,LA LIBERTAD (EL SALVADOR),DAP,Maize (FOOD - CEREALS & GRAINS),MAIZE,Non GMO,Bag,0,41541,100000,60,SCIPS
IRELAND,SAN SALVADOR (EL SALVADOR),DAP,Dried Whole Milk (FOOD - DAIRY PRODUCTS),DRIED WHOLE MILK,Non GMO,Bag,5100,41429,100000,60,SCIPS
EL SALVADOR,LA LIBERTAD (EL SALVADOR),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,495,42068,100000,60,SCIPS
EGYPT,DAMASCUS (SYRIA),DAP,Cheese (FOOD - DAIRY PRODUCTS),CHEESE,Non GMO,Bag,6500,41442,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),DAP,Vegetable Oil (FOOD - OILS & FATS),SUNFLOWER OIL,Non GMO,Pet Bottle,1246.67,42522,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Barley (FOOD - CEREALS & GRAINS),BARLEY,Non GMO,Bag,0,41649,100000,60,SCIPS
HONDURAS,PUERTO CORTEZ (HONDURAS),EXW,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),CSB PLUS,Non GMO,Bag,0,41492,100000,60,SCIPS
TURKEY,TRABZON (TURKEY),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,490,42248,100000,60,SCIPS
CHINA,DALIAN (CHINA),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,759,42248,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (CSB++),Non GMO,Bag,910.83,42710,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (CSB++),Non GMO,Bag,890.66,42724,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Enriched Dried Skimm (FOOD - DAIRY PRODUCTS),ENRICHED DRIED SKIMMED MILK,Non GMO,Bag,0,41074,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bag,210,42804,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,458,42726,100000,60,SCIPS
UKRAINE,ODESSA (UKRAINE),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,0,41130,100000,60,SCIPS
UKRAINE,ODESSA (UKRAINE),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,0,42128,100000,60,SCIPS
UTD.ARAB EMIR.,JEBEL ALI (UTD.ARAB EMIR.),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,560,42502,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,1000,42709,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,950,42815,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,408,42719,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Dried Whole Milk (FOOD - DAIRY PRODUCTS),DRIED WHOLE MILK,Non GMO,Bag,3100,41898,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,800,42774,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bag,322,42783,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bag,317,42783,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Vegetable Oil (FOOD - OILS & FATS),SUNFLOWER OIL,Non GMO,Pet Bottle,1195,42814,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,0,41950,100000,60,SCIPS
SUDAN,PORT SUDAN (SUDAN),FOB,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bulk,174,42719,100000,60,SCIPS
MEXICO,TAMPICO (MEXICO),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,1185,41887,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,739,42153,100000,60,SCIPS
INDIA,BEDI BUNDER (INDIA),FOB,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bulk,257,41600,100000,60,SCIPS
GUATEMALA,GUATEMALA CITY (GUATEMALA),EXW,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,879,42776,100000,60,SCIPS
INDIA,MUNDRA (INDIA),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Sachet,2450,42648,100000,60,SCIPS
AUSTRALIA,MELBOURNE (AUSTRALIA),FOB,Beans (FOOD - PULSES & VEGETABLES),HABAS/FABA,Non GMO,Bag,0,41424,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),YELLOW MAIZE MEAL,GMO,Bag,377,42439,100000,60,SCIPS
FRANCE,ROUEN (FRANCE),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),NUTRIBUTTER,Non GMO,Sachet,3085.47,42220,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (WSB+),Non GMO,Bag,508,42436,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (WSB+),Non GMO,Bag,440,42276,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,518,42726,100000,60,SCIPS
VIETNAM,HOCHIMINH CITY (VIETNAM),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,355,42815,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bag,215,42804,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,GMO,Bag,326,42783,100000,60,SCIPS
EGYPT,ALEXANDRIA (EGYPT),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,945,41153,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Wheat (FOOD - CEREALS & GRAINS),SOFT WHEAT,Non GMO,Bag,250,42401,100000,60,SCIPS
ZAMBIA,LUSAKA (ZAMBIA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,560,42783,100000,60,SCIPS
MOZAMBIQUE,BEIRA (MOZAMBIQUE),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,495,42783,100000,60,SCIPS
MOZAMBIQUE,NACALA (MOZAMBIQUE),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,346,42783,100000,60,SCIPS
MOZAMBIQUE,CHIMOIO (MOZAMBIQUE),FCA,Peas (FOOD - PULSES & VEGETABLES),PIGEON PEAS,Non GMO,Bag,587.5,42720,100000,60,SCIPS
NAMIBIA,OTAVI (NAMIBIA),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,540,41243,100000,60,SCIPS
LESOTHO,MASERU (LESOTHO),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,0,41299,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (WSB++),Non GMO,Bag,929.85,42552,100000,60,SCIPS
TANZANIA,ARUSHA (TANZANIA),DAP,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,535.06,42503,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),DAP,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,760.9,42209,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),DAP,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,769.3,42209,100000,60,SCIPS
SOUTH AFRICA,MASERU (LESOTHO),DAP,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,GMO,Bag,474,42423,100000,60,SCIPS
MADAGASCAR,TOLIARA (MADAGASCAR),FCA,Beans (FOOD - PULSES & VEGETABLES),BEANS,Non GMO,Bag,500,42615,100000,60,SCIPS
NETHERLANDS,ROTTERDAM (NETHERLANDS),FOB,Sugar (FOOD - MISCELLANEOUS),WHITE SUGAR,Non GMO,Bag,575,42720,100000,60,SCIPS
URUGUAY,MONTEVIDEO (URUGUAY),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,490,42822,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Peas (FOOD - PULSES & VEGETABLES),WHOLE YELLOW PEAS,Non GMO,Bag,320,42814,100000,60,SCIPS
ARGENTINA,ASUNCION (PARAGUAY),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41235,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,533,42153,100000,60,SCIPS
EL SALVADOR,COMAYAGUA (HONDURAS),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41236,100000,60,SCIPS
ARGENTINA,ZARATE (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,460,42815,100000,60,SCIPS
CHILE,LIRQUEN (CHILE),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,1100,42013,100000,60,SCIPS
MEXICO,VERACRUZ (MEXICO),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,759.4,42496,100000,60,SCIPS
HONDURAS,TEGUCIGALPA (HONDURAS),DAP,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,651.07,42642,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),GMO,Bag,0,42055,100000,60,SCIPS
MOZAMBIQUE,NACALA (MOZAMBIQUE),FCA,Peas (FOOD - PULSES & VEGETABLES),COW PEAS,Non GMO,Bag,615.8,42783,100000,60,SCIPS
MOZAMBIQUE,BEIRA (MOZAMBIQUE),DAP,Peas (FOOD - PULSES & VEGETABLES),COW PEAS,Non GMO,Bag,639.8,42783,100000,60,SCIPS
MOZAMBIQUE,BEIRA (MOZAMBIQUE),DAP,Vegetable Oil (FOOD - OILS & FATS),VEGETABLE OIL,Non GMO,Carton,0,42531,100000,60,SCIPS
MOZAMBIQUE,MAPUTO (MOZAMBIQUE),FCA,Vegetable Oil (FOOD - OILS & FATS),VEGETABLE OIL,Non GMO,Carton,1516,42783,100000,60,SCIPS
MOZAMBIQUE,MAPUTO (MOZAMBIQUE),FCA,Peas (FOOD - PULSES & VEGETABLES),WHOLE YELLOW PEAS,Non GMO,Bag,0,42608,100000,60,SCIPS
MOZAMBIQUE,ANGONIA (MOZAMBIQUE),FCA,Beans (FOOD - PULSES & VEGETABLES),PINTO BEANS,Non GMO,Bag,0,42531,100000,60,SCIPS
MADAGASCAR,TOLIARA (MADAGASCAR),FCA,Rice (FOOD - CEREALS & GRAINS),RICE,Non GMO,Bag,509,42545,100000,60,SCIPS
LESOTHO,MASERU (LESOTHO),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,436,42801,100000,60,SCIPS
ETHIOPIA,ADDIS ABABA (ETHIOPIA),FCA,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,438.26,42209,100000,60,SCIPS
BELIZE,COMAYAGUA (HONDURAS),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41236,100000,60,SCIPS
BELIZE,SAN LORENZO (HONDURAS),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41236,100000,60,SCIPS
BELIZE,SAN PEDRO SULA (HONDURAS),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41236,100000,60,SCIPS
EL SALVADOR,SAN SALVADOR (EL SALVADOR),DAP,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,940,41886,100000,60,SCIPS
EL SALVADOR,SAN SALVADOR (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1895.98,42013,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,482,42723,100000,60,SCIPS
BOLIVIA,ARICA (CHILE),FOB,Beans (FOOD - PULSES & VEGETABLES),PINTO BEANS,Non GMO,Bag,0,41281,100000,60,SCIPS
FINLAND,HELSINKI (FINLAND),FOB,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Packet,0,42069,100000,60,SCIPS
ZIMBABWE,HARARE (ZIMBABWE),FCA,Beans (FOOD - PULSES & VEGETABLES),BEANS,Non GMO,Bag,0,41348,100000,60,SCIPS
SWAZILAND,MATSAPHA (SWAZILAND),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,375,42405,100000,60,SCIPS
SWAZILAND,MATSAPHA (SWAZILAND),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,482,42405,100000,60,SCIPS
SOUTH AFRICA,HARRISMITH (SOUTH AFRICA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,GMO,Bag,487,42461,100000,60,SCIPS
SOUTH AFRICA,HARRISMITH (SOUTH AFRICA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),GMO,Bag,407,42461,100000,60,SCIPS
HAITI,CAP HAITIEN (HAITI),FOB,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),PLUMPY DOZ,Non GMO,Bag,0,41421,100000,60,SCIPS
SENEGAL,DAKAR (SENEGAL),FCA,Rice (FOOD - CEREALS & GRAINS),100% BROKEN RICE,Non GMO,Bag,0,41516,100000,60,SCIPS
EGYPT,DAMASCUS (SYRIA),FCA,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,0,41558,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),DAP,Lentils (FOOD - PULSES & VEGETABLES),LENTILS,Non GMO,Bag,0,41438,100000,60,SCIPS
RUSSIA,DAMASCUS (SYRIA),DAP,Canned Fish (FOOD - FISH),CANNED FISH,Non GMO,Bulk,0,41442,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),DAP,Bulgur Wheat (FOOD - CEREALS & GRAINS),BULGUR WHEAT,Non GMO,Bag,0,41451,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),CIP,Lentils (FOOD - PULSES & VEGETABLES),LENTILS,Non GMO,Bag,0,41451,100000,60,SCIPS
EGYPT,DAMASCUS (SYRIA),DAP,Rations (FOOD - PRE-PACKAGED FOOD PARCELS),RATIONS,Non GMO,Bag,950,41442,100000,60,SCIPS
OMAN,SOHAR (OMAN),FOB,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Packet,900,42620,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Vegetable Oil (FOOD - OILS & FATS),SUNFLOWER OIL,Non GMO,Pet Bottle,1050,42720,100000,60,SCIPS
UTD.ARAB EMIR.,JEBEL ALI (UTD.ARAB EMIR.),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE GREEN LENTILS,Non GMO,Bag,0,42411,100000,60,SCIPS
KENYA,NAIROBI (KENYA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,605,42103,100000,60,SCIPS
UGANDA,KAMPALA (UGANDA),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),CSB PLUS,Non GMO,Bag,928.11,42209,100000,60,SCIPS
ZIMBABWE,HARARE (ZIMBABWE),FCA,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,0,42321,100000,60,SCIPS
ZIMBABWE,BINDURA (ZIMBABWE),FCA,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bag,0,41299,100000,60,SCIPS
ZIMBABWE,HARARE (ZIMBABWE),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41306,100000,60,SCIPS
MOZAMBIQUE,BEIRA (MOZAMBIQUE),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,0,42405,100000,60,SCIPS
NAMIBIA,OTAVI (NAMIBIA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,520,41243,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,0,41740,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),HORSE BEANS,Non GMO,Bag,655,42118,100000,60,SCIPS
ETHIOPIA,ADDIS ABABA (ETHIOPIA),FCA,Lentils (FOOD - PULSES & VEGETABLES),WHOLE RED LENTILS,Non GMO,Bag,1828.2,42209,100000,60,SCIPS
USA,TACOMA (USA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,497,42146,100000,60,SCIPS
USA,SEATTLE (USA),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE GREEN LENTILS,Non GMO,Bag,1279,42411,100000,60,SCIPS
CANADA,VANCOUVER (CANADA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,600,42160,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,740,42041,100000,60,SCIPS
HONDURAS,SAN LORENZO (HONDURAS),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,736.89,42047,100000,60,SCIPS
HONDURAS,SAN PEDRO SULA (HONDURAS),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,698.79,42013,100000,60,SCIPS
BOLIVIA,ARICA (CHILE),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,41281,100000,60,SCIPS
EL SALVADOR,LA LIBERTAD (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1990,42068,100000,60,SCIPS
EL SALVADOR,LA LIBERTAD (EL SALVADOR),DAP,Rice (FOOD - CEREALS & GRAINS),15% BROKEN RICE,Non GMO,Bag,925,42068,100000,60,SCIPS
GUATEMALA,GUATEMALA (GUATEMALA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41431,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),DAP,Ghee (FOOD - OILS & FATS),GHEE,Non GMO,Pet Bottle,1.4,41438,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),DAP,Pasta (FOOD - CEREALS & GRAINS),PASTA,Non GMO,Packet,662,41729,100000,60,SCIPS
TURKEY,ERBIL (IRAQ),DAP,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,330,42509,100000,60,SCIPS
